"Node","X_Coord","Y_Coord"
1948,-157.761721412117,21.2789473857735
1956,-157.761061267062,21.2766361115823
2196,-157.753029223397,21.2841270412021
2197,-157.751797970296,21.2840278121939
2198,-157.749513402107,21.2836984831666
2199,-157.757135915737,21.2836047041589
2200,-157.749768773128,21.2835744501564
2201,-157.751738130291,21.2833679761393
2202,-157.757477013765,21.2829238611026
2203,-157.755891742634,21.2826595110807
2204,-157.755975592641,21.2825742950736
2205,-157.753250498416,21.2824366680622
2206,-157.753629677447,21.2822655170481
2207,-157.754428570513,21.2820220240279
2208,-157.755808159627,21.2819167560192
2209,-157.759555709937,21.2818517370138
2210,-157.756555564689,21.281309588969
2273,-157.749576352112,21.2812116289609
2274,-157.759370062922,21.2810974589514
2275,-157.750249256167,21.2810289699457
2276,-157.752763089375,21.2810230099453
2277,-157.753984666476,21.2809664209406
2278,-157.749583631112,21.2803808288921
2279,-157.75572371162,21.2803652958909
2280,-157.753991609477,21.2796624048327
2281,-157.749540502109,21.2796161298289
2282,-157.750601296197,21.2793145578039
2283,-157.748624234033,21.2789156677709
2284,-157.753461578433,21.2784899687357
2285,-157.755568273608,21.2784494067323
2286,-157.759615977942,21.2775326766565
2287,-157.75970651695,21.2773950546451
2288,-157.756579868691,21.2763623685597
2289,-157.757435397762,21.2751755724615
2290,-157.757489763766,21.2751567884599
2291,-157.758596136858,21.2748012254305
2292,-157.756176608658,21.2744503544014
2293,-157.757211877743,21.2742448793845
2294,-157.757263671748,21.2742266733829
2295,-157.763225141241,21.2842499462122
2303,-157.760636760027,21.2812895719673
2561,-157.754617745529,21.29570380116
2562,-157.754663125533,21.294688895076
2563,-157.752812619379,21.2926817689099
2564,-157.756124976654,21.2926088519039
2565,-157.755655145615,21.2926442819068
2566,-157.754335085505,21.291027405773
2567,-157.752883599385,21.2908556817588
2568,-157.754614597529,21.2907462927498
2569,-157.757108138735,21.2906718477436
2570,-157.755896597635,21.29038694272
2571,-157.755213311578,21.2903823507197
2572,-157.752930343389,21.2896893256623
2573,-157.756550351689,21.2893737836362
2574,-157.754018508479,21.2890907626128
2575,-157.753354688424,21.2890861906124
2576,-157.752767730376,21.2890062636058
2577,-157.752180722327,21.2885193385655
2634,-157.754248002498,21.2868717414292
2635,-157.752552015358,21.2864886503975
2636,-157.755207587578,21.2863028953821
2637,-157.752676819368,21.2860668493626
2638,-157.757459003764,21.2856186063255
2639,-157.754786629543,21.2855379453188
2640,-157.75245503835,21.2851226872845
2641,-157.754522212521,21.2844732882307
2642,-157.752236589332,21.2844307222272
2643,-157.764396467338,21.2901482577003
2644,-157.764427943341,21.2899815806865
2645,-157.764431259341,21.2892849556289
2646,-157.763777454287,21.2892159396231
2647,-157.762203808157,21.2880720775285
2648,-157.765163757401,21.2878963625139
2649,-157.761953412136,21.286930242434
2650,-157.761023834059,21.2868925674309
2651,-157.760881162047,21.2867996044232
2653,-157.761569631104,21.2865404834018
2654,-157.762661228194,21.2865125753995
2655,-157.762736513201,21.2865012193985
2656,-157.761051539061,21.286107992366
2658,-157.760309622,21.285141871286
2659,-157.760708414033,21.284875349264
2660,-157.763659102277,21.2847139062507
2856,-157.746125930826,21.2943943430516
2866,-157.760875462047,21.2902463377084
3099,-157.745649724787,21.2851965662906
3105,-157.745032808736,21.2829140691018
3112,-157.746493367857,21.2842606702131
3113,-157.7470128399,21.2860856163642
3114,-157.754640023531,21.288259295544
3120,-157.754137912489,21.2953589861314
3121,-157.7554802796,21.2966198622358
3224,-157.762715149199,21.2910947767786
3225,-157.762029219142,21.2906705597435
3226,-157.762907731215,21.291691041828
3227,-157.76284498921,21.2905896647368
3228,-157.762515568182,21.2891208036153
3239,-157.756602986693,21.2995730514801
3488,-157.755485612601,21.2988124784172
3489,-157.754774601542,21.2989424754279
3573,-157.755912188636,21.2800618518658
3574,-157.755585476609,21.2925365478979
4395,-157.749611157115,21.2880808985292
4396,-157.748598736031,21.2887561335851
4397,-157.748302326006,21.2882371785421
4398,-157.749343489092,21.2876339864923
