"Name","Invert_Elev","MaxDepth","InitDepth","SurDepth","Aponded"
21704,1001.0060764,3.6,0,0,3.6
21769,172.4079586,5.4,0,0,5.4
21774,811.6901547,0,0,0,0
22276,1025.8770513,0,0,0,0
22555,1009.6702019,7.5,0,0,7.5
22556,1014.0968758,14.2,0,0,14.2
22609,772.8104244,5.8,0,0,5.8
22610,938.8347775,0,0,0,0
22611,891.1052548,4.7,0,0,4.7
22612,960.0035854,0,0,0,0
22618,977.1138264,4.3,0,0,4.3
22619,428.573486,0,0,0,0
22620,435.1312862,0,0,0,0
22621,448.3753658,10,0,0,10
22675,817.4748989,0,0,0,0
22689,815.6201168,0,0,0,0
22842,248.7556149,0,0,0,0
22878,222.052734,11.6,0,0,11.6
23469,994.9963337,4.4,0,0,4.4
23482,1022.391611,0,0,0,0
23529,863.4587856,7.5,0,0,7.5
23530,958.7344967,3.6,0,0,3.6
23544,994.1630989,4,0,0,4
23545,1005.9768292,0,0,0,0
23546,494.1334225,8,0,0,8
23611,642.5876766,5.6,0,0,5.6
23612,625.8425289,7.5,0,0,7.5
23625,403.9429318,9.7,0,0,9.7
23650,796.1588131,0,0,0,0
23657,999.6087547,0,0,0,0
25351,592.2474667,8.1,0,0,8.1
25353,1015.6366297,0,0,0,0
25354,1010.2841536,4,0,0,4
25370,1025.0306401,0,0,0,0
25372,857.5359341,0,0,0,0
25418,855.1403957,6.7,0,0,6.7
25419,791.7335812,4.1,0,0,4.1
25420,795.1085049,5,0,0,5
25421,932.5804745,0,0,0,0
25422,943.8712765,0,0,0,0
25430,991.8860203,4.3,0,0,4.3
25491,424.6403194,9.7,0,0,9.7
25499,798.9574123,0,0,0,0
25500,660.8882748,4.6,0,0,4.6
25527,751.936462,0,0,0,0
25816,973.9508129,0,0,0,0
24122,818.6094509,0,0,0,0
24151,797.4932552,0,0,0,0
24423,1013.2654682,0,0,0,0
24438,1007.2096706,0,0,0,0
24463,870.1872707,0,0,0,0
24464,924.0128094,0,0,0,0
24472,992.7801281,4,0,0,4
24473,993.9942833,0,0,0,0
24474,431.9166866,0,0,0,0
24526,735.420837,5.3,0,0,5.3
