OBJECTID_12,OBJECTID,PolygonID,StreamLink,StreamLen,DSNodeID,DSWSID,US1WSID,US2WSID,Area_M,Area_Acre,Area_SqMi,AveSlope,Shape_Leng,Percent_Ar,OBJECTID_1,POLYGONI_1,VALUE_1,ORIG_FID,POINT_X,POINT_Y
1,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629334.039800000376999,2358927.662399999797344
2,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629339.039800000376999,2358927.662399999797344
3,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629344.039800000376999,2358927.662399999797344
4,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629349.039800000376999,2358927.662399999797344
5,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629354.039800000376999,2358927.662399999797344
6,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629359.039800000376999,2358922.662399999797344
7,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629364.039800000376999,2358917.662399999797344
8,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629369.039800000376999,2358917.662399999797344
9,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629374.039800000376999,2358917.662399999797344
10,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629379.039800000376999,2358917.662399999797344
11,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629384.039800000376999,2358917.662399999797344
12,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629389.039800000376999,2358917.662399999797344
13,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629394.039800000376999,2358917.662399999797344
14,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629399.039800000376999,2358917.662399999797344
15,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629404.039800000376999,2358917.662399999797344
16,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629409.039800000376999,2358912.662399999797344
17,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629414.039800000376999,2358907.662399999797344
18,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629419.039800000376999,2358907.662399999797344
19,1,0,1.000000000000000,1582.000000000000000,-1.000000000000000,8.000000000000000,-1.000000000000000,-1.000000000000000,988187.500359999947250,244.186072270000011,0.381540737900000,97.901135769099994,4891.944801960000405,7,1,0,64584.000000000000000,0,629424.039800000376999,2358907.662399999797344
