"subc","name","elevation","maxdepth","initdepth","surdepth","aponded"
NA,1,903.0094604,0,0,0,0
NA,2,888.0210571,0,0,0,0
NA,3,887.1105957,0,0,0,0
NA,4,885.9952393,0,0,0,0
NA,5,882.2409668,0,0,0,0
NA,6,875.5483398,0,0,0,0
NA,7,865.5281982,0,0,0,0
NA,8,860.7218628,0,0,0,0
NA,9,850.277771,0,0,0,0
NA,10,846.8739014,0,0,0,0
NA,11,846.4342651,0,0,0,0
NA,12,841.8365479,0,0,0,0
NA,13,835.1290283,0,0,0,0
NA,14,832.9899902,0,0,0,0
NA,15,832.0684814,0,0,0,0
NA,16,829.5591431,0,0,0,0
NA,17,827.5953369,0,0,0,0
NA,18,824.5223999,0,0,0,0
NA,19,820.2210083,0,0,0,0
NA,20,814.4561157,0,0,0,0
NA,21,811.6861572,0,0,0,0
NA,22,805.2894287,0,0,0,0
NA,23,798.4250488,0,0,0,0
NA,24,781.880188,0,0,0,0
NA,25,780.8996582,0,0,0,0
NA,26,775.7896118,0,0,0,0
NA,27,772.5149536,0,0,0,0
NA,28,763.585083,0,0,0,0
NA,29,760.078186,0,0,0,0
NA,30,751.2954712,0,0,0,0
NA,31,749.2420044,0,0,0,0
NA,32,748.3597412,0,0,0,0
NA,33,746.3945923,0,0,0,0
NA,34,739.0947876,0,0,0,0
NA,35,727.3747559,0,0,0,0
NA,36,722.6704712,0,0,0,0
NA,37,718.0865479,0,0,0,0
NA,38,717.0848999,0,0,0,0
NA,39,715.5250854,0,0,0,0
NA,40,714.2955322,0,0,0,0
NA,41,711.8371582,0,0,0,0
NA,42,707.6530151,0,0,0,0
NA,43,704.3237305,0,0,0,0
NA,44,700.6247559,0,0,0,0
NA,45,691.3518066,0,0,0,0
NA,46,687.0419312,0,0,0,0
NA,47,684.1626587,0,0,0,0
NA,48,678.3651123,0,0,0,0
NA,49,677.2177734,0,0,0,0
NA,50,672.5536499,0,0,0,0
NA,51,659.4546509,0,0,0,0
NA,52,649.8102417,0,0,0,0
NA,53,630.1265259,0,0,0,0
NA,54,622.1972046,0,0,0,0
NA,55,620.9547729,0,0,0,0
NA,56,612.6599121,0,0,0,0
NA,57,611.7035522,0,0,0,0
NA,58,604.5057983,0,0,0,0
NA,59,598.6751709,0,0,0,0
NA,60,594.8153687,0,0,0,0
NA,61,584.7627563,0,0,0,0
NA,62,581.9495239,0,0,0,0
NA,63,574.7355957,0,0,0,0
NA,64,561.6533813,0,0,0,0
NA,65,559.237915,0,0,0,0
NA,66,546.1792603,0,0,0,0
NA,67,527.4116821,0,0,0,0
NA,68,520.8874512,0,0,0,0
NA,69,517.210083,0,0,0,0
NA,70,515.4431152,0,0,0,0
NA,71,503.2877808,0,0,0,0
NA,72,496.284668,0,0,0,0
NA,73,495.255127,0,0,0,0
NA,74,489.5166016,0,0,0,0
NA,75,483.618988,0,0,0,0
NA,76,480.0940247,0,0,0,0
NA,77,470.8692627,0,0,0,0
NA,78,467.5700684,0,0,0,0
NA,79,465.5482788,0,0,0,0
NA,80,463.9718323,0,0,0,0
NA,81,458.0514526,0,0,0,0
NA,82,452.7852173,0,0,0,0
NA,83,449.3504028,0,0,0,0
NA,84,447.4141235,0,0,0,0
NA,85,445.3559875,0,0,0,0
NA,86,444.3602905,0,0,0,0
NA,87,442.3145142,0,0,0,0
NA,88,441.0689392,0,0,0,0
NA,89,434.0848389,0,0,0,0
NA,90,429.1557922,0,0,0,0
NA,91,424.8669434,0,0,0,0
NA,92,417.1880493,0,0,0,0
NA,93,412.3980103,0,0,0,0
NA,94,404.1454163,0,0,0,0
NA,95,396.2189331,0,0,0,0
NA,96,389.718811,0,0,0,0
NA,97,387.3990173,0,0,0,0
NA,98,384.1386414,0,0,0,0
NA,99,377.7280273,0,0,0,0
NA,100,376.0871887,0,0,0,0
NA,101,374.4250488,0,0,0,0
NA,102,372.9447021,0,0,0,0
NA,103,358.016571,0,0,0,0
NA,104,324.0342712,0,0,0,0
NA,105,310.1929932,0,0,0,0
NA,106,278.511261,0,0,0,0
NA,107,272.3712463,0,0,0,0
NA,108,257.1182556,0,0,0,0
NA,109,253.3792267,0,0,0,0
NA,110,250.8399353,0,0,0,0
NA,111,244.8851471,0,0,0,0
NA,112,231.6907959,0,0,0,0
NA,113,200.4872131,0,0,0,0
NA,114,197.8776245,0,0,0,0
NA,115,162.7332001,0,0,0,0
NA,116,152.1090393,0,0,0,0
NA,117,137.5940552,0,0,0,0
NA,118,130.5533447,0,0,0,0
NA,119,120.329567,0,0,0,0
NA,120,115.1777573,0,0,0,0
NA,121,109.5367355,0,0,0,0
NA,122,102.2741241,0,0,0,0
NA,123,100.9589996,0,0,0,0
NA,124,99.3548813,0,0,0,0
NA,125,97.8491516,0,0,0,0
NA,126,93.1692352,0,0,0,0
NA,127,86.9185638,0,0,0,0
NA,128,83.4812622,0,0,0,0
NA,129,76.4376984,0,0,0,0
NA,130,73.8276443,0,0,0,0
NA,131,66.8317719,0,0,0,0
NA,132,55.4695511,0,0,0,0
NA,133,49.3767548,0,0,0,0
NA,134,30.2217522,0,0,0,0
NA,135,26.4216843,0,0,0,0
NA,136,15.2820406,0,0,0,0
NA,137,12.0128565,0,0,0,0
NA,138,10.6606455,0,0,0,0
NA,139,10.07094,0,0,0,0
NA,140,8.5255299,0,0,0,0
NA,141,7.7951746,0,0,0,0
NA,142,6.5264416,0,0,0,0
NA,143,5.2874799,0,0,0,0
NA,144,4.5932894,0,0,0,0
NA,145,2.8912694,0,0,0,0
NA,146,2.5490134,0,0,0,0
1,147,841.9801025,0,0,0,0
1,148,833.185791,0,0,0,0
1,149,821.4254761,0,0,0,0
1,150,791.8609619,0,0,0,0
1,151,787.2432861,0,0,0,0
1,152,782.0262451,0,0,0,0
1,153,769.7507324,0,0,0,0
1,154,751.546936,0,0,0,0
1,155,748.1585083,0,0,0,0
1,156,744.4921265,0,0,0,0
1,157,741.5159912,0,0,0,0
1,158,739.1052246,0,0,0,0
1,159,737.2547607,0,0,0,0
1,160,733.2854614,0,0,0,0
1,161,718.5800171,0,0,0,0
1,162,716.0546265,0,0,0,0
1,163,711.3189697,0,0,0,0
1,164,702.4816284,0,0,0,0
1,165,701.2440796,0,0,0,0
1,166,700.118103,0,0,0,0
1,167,696.9309082,0,0,0,0
1,168,694.2855835,0,0,0,0
1,169,692.6245728,0,0,0,0
1,170,687.5576782,0,0,0,0
1,171,684.8245239,0,0,0,0
1,172,662.166687,0,0,0,0
1,173,644.3435669,0,0,0,0
1,174,628.305603,0,0,0,0
1,175,617.3688354,0,0,0,0
1,176,612.2249756,0,0,0,0
1,177,580.0354614,0,0,0,0
1,178,575.5645752,0,0,0,0
1,179,568.5828247,0,0,0,0
1,180,562.4498291,0,0,0,0
1,181,556.7471313,0,0,0,0
1,182,554.6615601,0,0,0,0
1,183,548.3415527,0,0,0,0
1,184,544.7574463,0,0,0,0
