"subc","name","elevation","maxdepth","initdepth","surdepth","aponded"
NA,1,335.4857788,0,0,0,0
NA,2,333.6875,0,0,0,0
NA,3,332.6550598,0,0,0,0
NA,4,332.6550598,0,0,0,0
NA,5,320.6395264,0,0,0,0
NA,6,320.6395264,0,0,0,0
NA,7,320.4136963,0,0,0,0
NA,8,319.5827942,0,0,0,0
NA,9,318.4325256,0,0,0,0
NA,10,316.4624634,0,0,0,0
NA,11,223.3701324,0,0,0,0
NA,12,219.83992,0,0,0,0
NA,13,219.83992,0,0,0,0
NA,14,217.3141937,0,0,0,0
NA,15,217.3141937,0,0,0,0
NA,16,82.0524063,0,0,0,0
NA,17,79.9371033,0,0,0,0
4,18,281.1215515,0,0,0,0
4,19,281.1215515,0,0,0,0
4,20,279.0898743,0,0,0,0
4,21,279.0898743,0,0,0,0
4,22,278.0105896,0,0,0,0
4,23,278.0105896,0,0,0,0
4,24,277.8779297,0,0,0,0
4,25,277.8779297,0,0,0,0
4,26,277.4258118,0,0,0,0
4,27,277.4258118,0,0,0,0
4,28,275.7998962,0,0,0,0
6,29,1.3735406,0,0,0,0
6,30,-0.1442613,0,0,0,0
6,31,-0.3696514,0,0,0,0
6,32,-0.3696514,0,0,0,0
7,33,313.5944519,0,0,0,0
7,34,305.2278137,0,0,0,0
7,35,296.9622803,0,0,0,0
7,36,296.9622803,0,0,0,0
7,37,296.9622803,0,0,0,0
7,38,296.4113159,0,0,0,0
7,39,290.0946045,0,0,0,0
7,40,286.7198792,0,0,0,0
7,41,286.7198792,0,0,0,0
7,42,286.7198792,0,0,0,0
7,43,285.7871094,0,0,0,0
7,44,285.7871094,0,0,0,0
7,45,275.4275208,0,0,0,0
7,46,273.1550293,0,0,0,0
7,47,273.1550293,0,0,0,0
7,48,272.190979,0,0,0,0
7,49,272.190979,0,0,0,0
7,50,272.190979,0,0,0,0
7,51,268.8782349,0,0,0,0
7,52,268.8782349,0,0,0,0
7,53,268.8782349,0,0,0,0
7,54,264.772644,0,0,0,0
7,55,264.6846008,0,0,0,0
7,56,261.4641724,0,0,0,0
7,57,255.7675171,0,0,0,0
7,58,255.7675171,0,0,0,0
7,59,241.774704,0,0,0,0
7,60,241.774704,0,0,0,0
7,61,240.0088654,0,0,0,0
7,62,238.3667603,0,0,0,0
7,63,238.1217346,0,0,0,0
7,64,238.1217346,0,0,0,0
7,65,225.630722,0,0,0,0
7,66,206.7580719,0,0,0,0
7,67,201.8211823,0,0,0,0
7,68,195.0900726,0,0,0,0
7,69,189.202713,0,0,0,0
7,70,184.5904694,0,0,0,0
7,71,184.5904694,0,0,0,0
7,72,183.721283,0,0,0,0
7,73,182.9736938,0,0,0,0
7,74,181.9853058,0,0,0,0
7,75,178.5566711,0,0,0,0
7,76,177.0779419,0,0,0,0
7,77,177.0779419,0,0,0,0
7,78,174.7285919,0,0,0,0
7,79,173.7020111,0,0,0,0
7,80,173.7020111,0,0,0,0
7,81,172.0036163,0,0,0,0
7,82,171.844223,0,0,0,0
7,83,169.2966309,0,0,0,0
8,84,119.958992,0,0,0,0
8,85,108.4111938,0,0,0,0
8,86,108.4111938,0,0,0,0
8,87,91.165596,0,0,0,0
8,88,90.3660202,0,0,0,0
8,89,90.3660202,0,0,0,0
8,90,90.1383591,0,0,0,0
8,91,87.8521957,0,0,0,0
8,92,85.9276962,0,0,0,0
8,93,83.8259659,0,0,0,0
8,94,82.3617249,0,0,0,0
8,95,81.9972076,0,0,0,0
8,96,81.9972076,0,0,0,0
8,97,81.7833939,0,0,0,0
9,98,394.8908691,0,0,0,0
9,99,386.5483398,0,0,0,0
9,100,386.5483398,0,0,0,0
9,101,386.5483398,0,0,0,0
9,102,385.7644958,0,0,0,0
9,103,385.7644958,0,0,0,0
10,104,313.2312927,0,0,0,0
10,105,312.0245972,0,0,0,0
10,106,309.6018066,0,0,0,0
10,107,308.8115234,0,0,0,0
10,108,306.1242065,0,0,0,0
10,109,306.1242065,0,0,0,0
10,110,306.1242065,0,0,0,0
10,111,286.6347351,0,0,0,0
10,112,286.6347351,0,0,0,0
10,113,262.6225891,0,0,0,0
10,114,262.6225891,0,0,0,0
10,115,216.9528351,0,0,0,0
10,116,216.9528351,0,0,0,0
10,117,208.6073608,0,0,0,0
10,118,205.3205414,0,0,0,0
10,119,205.3205414,0,0,0,0
10,120,204.6843719,0,0,0,0
10,121,201.893158,0,0,0,0
10,122,199.4438934,0,0,0,0
10,123,196.6973114,0,0,0,0
10,124,194.2966309,0,0,0,0
10,125,192.2043762,0,0,0,0
10,126,191.1495819,0,0,0,0
10,127,190.1393433,0,0,0,0
10,128,188.5572662,0,0,0,0
10,129,188.5572662,0,0,0,0
11,130,88.8969193,0,0,0,0
11,131,76.2562943,0,0,0,0
11,132,76.2562943,0,0,0,0
11,133,74.6915588,0,0,0,0
11,134,70.6048355,0,0,0,0
11,135,70.6048355,0,0,0,0
11,136,70.6048355,0,0,0,0
11,137,68.5715027,0,0,0,0
11,138,67.8775101,0,0,0,0
11,139,65.9186554,0,0,0,0
11,140,65.5449295,0,0,0,0
11,141,65.5449295,0,0,0,0
11,142,65.3079376,0,0,0,0
11,143,65.0773544,0,0,0,0
11,144,65.0773544,0,0,0,0
11,145,65.0773544,0,0,0,0
11,146,50.9042244,0,0,0,0
11,147,43.0102577,0,0,0,0
11,148,42.2230759,0,0,0,0
11,149,42.2230759,0,0,0,0
11,150,36.6072998,0,0,0,0
11,151,31.5770054,0,0,0,0
11,152,29.8941021,0,0,0,0
11,153,29.8941021,0,0,0,0
11,154,26.1444416,0,0,0,0
11,155,25.1544132,0,0,0,0
