"subc","nodes","x_coord","y_coord"
NA,1,-157.762311010445,21.294008391674
NA,2,-157.762316424363,21.2936360840381
NA,3,-157.76229882643,21.2936195131301
NA,4,-157.762298767974,21.2935919597012
NA,5,-157.762251795484,21.2935149165802
NA,6,-157.76223414449,21.2933552500448
NA,7,-157.762234004196,21.2931073627147
NA,8,-157.762257524165,21.2929807021977
NA,9,-157.762292653483,21.2927109406575
NA,10,-157.762321970483,21.2926172960514
NA,11,-157.762339652953,21.2926007143515
NA,12,-157.762363126157,21.2924795639807
NA,13,-157.762468839665,21.2922758171753
NA,14,-157.762498163859,21.2922042149526
NA,15,-157.762515790571,21.2921711909477
NA,16,-157.762556916568,21.29208305379
NA,17,-157.762580315129,21.2920169176467
NA,18,-157.762592088154,21.291923324302
NA,19,-157.762633191668,21.2917801702187
NA,20,-157.762650765321,21.2916039606543
NA,21,-157.762633050475,21.2915323728208
NA,22,-157.76261544085,21.2913561749476
NA,23,-157.7625859251,21.2911743796939
NA,24,-157.762538861779,21.290728396898
NA,25,-157.762521168517,21.2907118250907
NA,26,-157.762509405385,21.290574154174
NA,27,-157.762485856637,21.2904971038583
NA,28,-157.762474013465,21.2902768634865
NA,29,-157.762456345384,21.2901997646075
NA,30,-157.762438723169,21.2899905031592
NA,31,-157.762403387007,21.2899629614216
NA,32,-157.762403378913,21.2899409190383
NA,33,-157.76237994348,21.2899078626578
NA,34,-157.762356361457,21.289742732741
NA,35,-157.762379764514,21.2894343120439
NA,36,-157.762356208572,21.2893352175463
NA,37,-157.762344457131,21.2892306111038
NA,38,-157.762326814231,21.289219550342
NA,39,-157.762326848405,21.2891809766208
NA,40,-157.762309154244,21.2891644947457
NA,41,-157.762309179425,21.2891038786411
NA,42,-157.762297337152,21.2890102915918
NA,43,-157.762291428607,21.2889331900147
NA,44,-157.762267930221,21.2888616498453
NA,45,-157.76222091906,21.2886743957068
NA,46,-157.762197370312,21.2885973435926
NA,47,-157.762197299266,21.2885367265887
NA,48,-157.762173789189,21.2884321237436
NA,49,-157.76215614539,21.2884211529139
