"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
"3_11","Trapezoidal",30,10,1,1,1,0
"3_110","Trapezoidal",30,10,1,1,1,0
"3_111","Trapezoidal",30,10,1,1,1,0
"3_112","Trapezoidal",30,10,1,1,1,0
"3_113","Trapezoidal",30,10,1,1,1,0
"3_114","Trapezoidal",30,10,1,1,1,0
"3_115","Trapezoidal",30,10,1,1,1,0
"3_116","Trapezoidal",30,10,1,1,1,0
"3_117","Trapezoidal",30,10,1,1,1,0
"3_118","Trapezoidal",30,10,1,1,1,0
"3_119","Trapezoidal",30,10,1,1,1,0
"3_12","Trapezoidal",30,10,1,1,1,0
"3_120","Trapezoidal",30,10,1,1,1,0
"3_121","Trapezoidal",30,10,1,1,1,0
"3_122","Trapezoidal",30,10,1,1,1,0
"3_123","Trapezoidal",30,10,1,1,1,0
"3_124","Trapezoidal",30,10,1,1,1,0
"3_125","Trapezoidal",30,10,1,1,1,0
"3_126","Trapezoidal",30,10,1,1,1,0
"3_127","Trapezoidal",30,10,1,1,1,0
"3_128","Trapezoidal",30,10,1,1,1,0
"3_129","Trapezoidal",30,10,1,1,1,0
"3_13","Trapezoidal",30,10,1,1,1,0
"3_14","Trapezoidal",30,10,1,1,1,0
"3_15","Trapezoidal",30,10,1,1,1,0
"3_16","Trapezoidal",30,10,1,1,1,0
"3_17","Trapezoidal",30,10,1,1,1,0
"3_18","Trapezoidal",30,10,1,1,1,0
"3_19","Trapezoidal",30,10,1,1,1,0
"3_2","Trapezoidal",30,10,1,1,1,0
"3_20","Trapezoidal",30,10,1,1,1,0
"3_21","Trapezoidal",30,10,1,1,1,0
"3_22","Trapezoidal",30,10,1,1,1,0
"3_23","Trapezoidal",30,10,1,1,1,0
"3_24","Trapezoidal",30,10,1,1,1,0
"3_25","Trapezoidal",30,10,1,1,1,0
"3_26","Trapezoidal",30,10,1,1,1,0
"3_27","Trapezoidal",30,10,1,1,1,0
"3_28","Trapezoidal",30,10,1,1,1,0
"3_29","Trapezoidal",30,10,1,1,1,0
"3_3","Trapezoidal",30,10,1,1,1,0
"3_30","Trapezoidal",30,10,1,1,1,0
"3_31","Trapezoidal",30,10,1,1,1,0
"3_32","Trapezoidal",30,10,1,1,1,0
"3_33","Trapezoidal",30,10,1,1,1,0
"3_34","Trapezoidal",30,10,1,1,1,0
"3_35","Trapezoidal",30,10,1,1,1,0
"3_36","Trapezoidal",30,10,1,1,1,0
"3_37","Trapezoidal",30,10,1,1,1,0
"3_38","Trapezoidal",30,10,1,1,1,0
"3_39","Trapezoidal",30,10,1,1,1,0
"3_4","Trapezoidal",30,10,1,1,1,0
"3_40","Trapezoidal",30,10,1,1,1,0
"3_41","Trapezoidal",30,10,1,1,1,0
"3_42","Trapezoidal",30,10,1,1,1,0
"3_43","Trapezoidal",30,10,1,1,1,0
"3_44","Trapezoidal",30,10,1,1,1,0
"3_45","Trapezoidal",30,10,1,1,1,0
"3_46","Trapezoidal",30,10,1,1,1,0
"3_47","Trapezoidal",30,10,1,1,1,0
"3_48","Trapezoidal",30,10,1,1,1,0
"3_49","Trapezoidal",30,10,1,1,1,0
"3_5","Trapezoidal",30,10,1,1,1,0
"3_50","Trapezoidal",30,10,1,1,1,0
"3_51","Trapezoidal",30,10,1,1,1,0
"3_52","Trapezoidal",30,10,1,1,1,0
"3_53","Trapezoidal",30,10,1,1,1,0
"3_54","Trapezoidal",30,10,1,1,1,0
"3_55","Trapezoidal",30,10,1,1,1,0
"3_56","Trapezoidal",30,10,1,1,1,0
"3_57","Trapezoidal",30,10,1,1,1,0
"3_58","Trapezoidal",30,10,1,1,1,0
"3_59","Trapezoidal",30,10,1,1,1,0
"3_6","Trapezoidal",30,10,1,1,1,0
"3_60","Trapezoidal",30,10,1,1,1,0
"3_61","Trapezoidal",30,10,1,1,1,0
"3_62","Trapezoidal",30,10,1,1,1,0
"3_63","Trapezoidal",30,10,1,1,1,0
"3_64","Trapezoidal",30,10,1,1,1,0
"3_65","Trapezoidal",30,10,1,1,1,0
"3_66","Trapezoidal",30,10,1,1,1,0
"3_67","Trapezoidal",30,10,1,1,1,0
"3_68","Trapezoidal",30,10,1,1,1,0
"3_69","Trapezoidal",30,10,1,1,1,0
"3_7","Trapezoidal",30,10,1,1,1,0
"3_70","Trapezoidal",30,10,1,1,1,0
"3_71","Trapezoidal",30,10,1,1,1,0
"3_72","Trapezoidal",30,10,1,1,1,0
"3_73","Trapezoidal",30,10,1,1,1,0
"3_74","Trapezoidal",30,10,1,1,1,0
"3_75","Trapezoidal",30,10,1,1,1,0
"3_76","Trapezoidal",30,10,1,1,1,0
"3_77","Trapezoidal",30,10,1,1,1,0
"3_78","Trapezoidal",30,10,1,1,1,0
"3_79","Trapezoidal",30,10,1,1,1,0
"3_8","Trapezoidal",30,10,1,1,1,0
"3_80","Trapezoidal",30,10,1,1,1,0
"3_81","Trapezoidal",30,10,1,1,1,0
"3_82","Trapezoidal",30,10,1,1,1,0
"3_83","Trapezoidal",30,10,1,1,1,0
"3_84","Trapezoidal",30,10,1,1,1,0
"3_85","Trapezoidal",30,10,1,1,1,0
"3_86","Trapezoidal",30,10,1,1,1,0
"3_87","Trapezoidal",30,10,1,1,1,0
"3_88","Trapezoidal",30,10,1,1,1,0
"3_89","Trapezoidal",30,10,1,1,1,0
"3_9","Trapezoidal",30,10,1,1,1,0
"3_90","Trapezoidal",30,10,1,1,1,0
"3_91","Trapezoidal",30,10,1,1,1,0
"3_92","Trapezoidal",30,10,1,1,1,0
"3_93","Trapezoidal",30,10,1,1,1,0
"3_94","Trapezoidal",30,10,1,1,1,0
"3_95","Trapezoidal",30,10,1,1,1,0
"3_96","Trapezoidal",30,10,1,1,1,0
"3_97","Trapezoidal",30,10,1,1,1,0
"3_98","Trapezoidal",30,10,1,1,1,0
"3_99","Trapezoidal",30,10,1,1,1,0
"38_1","Trapezoidal",30,10,1,1,1,0
"38_10","Trapezoidal",30,10,1,1,1,0
"38_100","Trapezoidal",30,10,1,1,1,0
"38_101","Trapezoidal",30,10,1,1,1,0
"38_102","Trapezoidal",30,10,1,1,1,0
"38_103","Trapezoidal",30,10,1,1,1,0
"38_104","Trapezoidal",30,10,1,1,1,0
"38_105","Trapezoidal",30,10,1,1,1,0
"38_106","Trapezoidal",30,10,1,1,1,0
"38_107","Trapezoidal",30,10,1,1,1,0
"38_108","Trapezoidal",30,10,1,1,1,0
"38_109","Trapezoidal",30,10,1,1,1,0
"38_11","Trapezoidal",30,10,1,1,1,0
"38_110","Trapezoidal",30,10,1,1,1,0
"38_111","Trapezoidal",30,10,1,1,1,0
"38_112","Trapezoidal",30,10,1,1,1,0
"38_113","Trapezoidal",30,10,1,1,1,0
"38_114","Trapezoidal",30,10,1,1,1,0
"38_115","Trapezoidal",30,10,1,1,1,0
"38_116","Trapezoidal",30,10,1,1,1,0
"38_117","Trapezoidal",30,10,1,1,1,0
"38_118","Trapezoidal",30,10,1,1,1,0
"38_119","Trapezoidal",30,10,1,1,1,0
"38_12","Trapezoidal",30,10,1,1,1,0
"38_120","Trapezoidal",30,10,1,1,1,0
"38_121","Trapezoidal",30,10,1,1,1,0
"38_122","Trapezoidal",30,10,1,1,1,0
"38_123","Trapezoidal",30,10,1,1,1,0
"38_124","Trapezoidal",30,10,1,1,1,0
"38_125","Trapezoidal",30,10,1,1,1,0
"38_126","Trapezoidal",30,10,1,1,1,0
"38_127","Trapezoidal",30,10,1,1,1,0
"38_128","Trapezoidal",30,10,1,1,1,0
"38_129","Trapezoidal",30,10,1,1,1,0
"38_13","Trapezoidal",30,10,1,1,1,0
"38_130","Trapezoidal",30,10,1,1,1,0
"38_131","Trapezoidal",30,10,1,1,1,0
"38_132","Trapezoidal",30,10,1,1,1,0
"38_133","Trapezoidal",30,10,1,1,1,0
"38_134","Trapezoidal",30,10,1,1,1,0
"38_135","Trapezoidal",30,10,1,1,1,0
"38_136","Trapezoidal",30,10,1,1,1,0
"38_137","Trapezoidal",30,10,1,1,1,0
"38_138","Trapezoidal",30,10,1,1,1,0
"38_139","Trapezoidal",30,10,1,1,1,0
"38_14","Trapezoidal",30,10,1,1,1,0
"38_140","Trapezoidal",30,10,1,1,1,0
"38_141","Trapezoidal",30,10,1,1,1,0
"38_142","Trapezoidal",30,10,1,1,1,0
"38_143","Trapezoidal",30,10,1,1,1,0
"38_144","Trapezoidal",30,10,1,1,1,0
"38_145","Trapezoidal",30,10,1,1,1,0
"38_146","Trapezoidal",30,10,1,1,1,0
"38_147","Trapezoidal",30,10,1,1,1,0
"38_148","Trapezoidal",30,10,1,1,1,0
"38_149","Trapezoidal",30,10,1,1,1,0
"38_15","Trapezoidal",30,10,1,1,1,0
"38_150","Trapezoidal",30,10,1,1,1,0
"38_151","Trapezoidal",30,10,1,1,1,0
"38_152","Trapezoidal",30,10,1,1,1,0
"38_153","Trapezoidal",30,10,1,1,1,0
"38_154","Trapezoidal",30,10,1,1,1,0
"38_155","Trapezoidal",30,10,1,1,1,0
"38_156","Trapezoidal",30,10,1,1,1,0
"38_157","Trapezoidal",30,10,1,1,1,0
"38_158","Trapezoidal",30,10,1,1,1,0
"38_159","Trapezoidal",30,10,1,1,1,0
"38_16","Trapezoidal",30,10,1,1,1,0
"38_160","Trapezoidal",30,10,1,1,1,0
"38_161","Trapezoidal",30,10,1,1,1,0
"38_162","Trapezoidal",30,10,1,1,1,0
"38_163","Trapezoidal",30,10,1,1,1,0
"38_164","Trapezoidal",30,10,1,1,1,0
"38_165","Trapezoidal",30,10,1,1,1,0
"38_166","Trapezoidal",30,10,1,1,1,0
"38_167","Trapezoidal",30,10,1,1,1,0
"38_168","Trapezoidal",30,10,1,1,1,0
"38_169","Trapezoidal",30,10,1,1,1,0
"38_17","Trapezoidal",30,10,1,1,1,0
"38_170","Trapezoidal",30,10,1,1,1,0
"38_171","Trapezoidal",30,10,1,1,1,0
"38_172","Trapezoidal",30,10,1,1,1,0
"38_173","Trapezoidal",30,10,1,1,1,0
"38_174","Trapezoidal",30,10,1,1,1,0
"38_175","Trapezoidal",30,10,1,1,1,0
"38_176","Trapezoidal",30,10,1,1,1,0
"38_177","Trapezoidal",30,10,1,1,1,0
"38_178","Trapezoidal",30,10,1,1,1,0
"38_179","Trapezoidal",30,10,1,1,1,0
"38_18","Trapezoidal",30,10,1,1,1,0
"38_19","Trapezoidal",30,10,1,1,1,0
"38_2","Trapezoidal",30,10,1,1,1,0
"38_20","Trapezoidal",30,10,1,1,1,0
"38_21","Trapezoidal",30,10,1,1,1,0
"38_22","Trapezoidal",30,10,1,1,1,0
"38_23","Trapezoidal",30,10,1,1,1,0
"38_24","Trapezoidal",30,10,1,1,1,0
"38_25","Trapezoidal",30,10,1,1,1,0
"38_26","Trapezoidal",30,10,1,1,1,0
"38_27","Trapezoidal",30,10,1,1,1,0
"38_28","Trapezoidal",30,10,1,1,1,0
"38_29","Trapezoidal",30,10,1,1,1,0
"38_3","Trapezoidal",30,10,1,1,1,0
"38_30","Trapezoidal",30,10,1,1,1,0
"38_31","Trapezoidal",30,10,1,1,1,0
"38_32","Trapezoidal",30,10,1,1,1,0
"38_33","Trapezoidal",30,10,1,1,1,0
"38_34","Trapezoidal",30,10,1,1,1,0
"38_35","Trapezoidal",30,10,1,1,1,0
"38_36","Trapezoidal",30,10,1,1,1,0
"38_37","Trapezoidal",30,10,1,1,1,0
"38_38","Trapezoidal",30,10,1,1,1,0
"38_39","Trapezoidal",30,10,1,1,1,0
"38_4","Trapezoidal",30,10,1,1,1,0
"38_40","Trapezoidal",30,10,1,1,1,0
"38_41","Trapezoidal",30,10,1,1,1,0
"38_42","Trapezoidal",30,10,1,1,1,0
"38_43","Trapezoidal",30,10,1,1,1,0
"38_44","Trapezoidal",30,10,1,1,1,0
"38_45","Trapezoidal",30,10,1,1,1,0
"38_46","Trapezoidal",30,10,1,1,1,0
"38_47","Trapezoidal",30,10,1,1,1,0
"38_48","Trapezoidal",30,10,1,1,1,0
"38_49","Trapezoidal",30,10,1,1,1,0
"38_5","Trapezoidal",30,10,1,1,1,0
"38_50","Trapezoidal",30,10,1,1,1,0
"38_51","Trapezoidal",30,10,1,1,1,0
"38_52","Trapezoidal",30,10,1,1,1,0
"38_53","Trapezoidal",30,10,1,1,1,0
"38_54","Trapezoidal",30,10,1,1,1,0
"38_55","Trapezoidal",30,10,1,1,1,0
"38_56","Trapezoidal",30,10,1,1,1,0
"38_57","Trapezoidal",30,10,1,1,1,0
"38_58","Trapezoidal",30,10,1,1,1,0
"38_59","Trapezoidal",30,10,1,1,1,0
"38_6","Trapezoidal",30,10,1,1,1,0
"38_60","Trapezoidal",30,10,1,1,1,0
"38_61","Trapezoidal",30,10,1,1,1,0
"38_62","Trapezoidal",30,10,1,1,1,0
"38_63","Trapezoidal",30,10,1,1,1,0
"38_64","Trapezoidal",30,10,1,1,1,0
"38_65","Trapezoidal",30,10,1,1,1,0
"38_66","Trapezoidal",30,10,1,1,1,0
"38_67","Trapezoidal",30,10,1,1,1,0
"38_68","Trapezoidal",30,10,1,1,1,0
"38_69","Trapezoidal",30,10,1,1,1,0
"38_7","Trapezoidal",30,10,1,1,1,0
"38_70","Trapezoidal",30,10,1,1,1,0
"38_71","Trapezoidal",30,10,1,1,1,0
"38_72","Trapezoidal",30,10,1,1,1,0
"38_73","Trapezoidal",30,10,1,1,1,0
"38_74","Trapezoidal",30,10,1,1,1,0
"38_75","Trapezoidal",30,10,1,1,1,0
"38_76","Trapezoidal",30,10,1,1,1,0
"38_77","Trapezoidal",30,10,1,1,1,0
"38_78","Trapezoidal",30,10,1,1,1,0
"38_79","Trapezoidal",30,10,1,1,1,0
"38_8","Trapezoidal",30,10,1,1,1,0
"38_80","Trapezoidal",30,10,1,1,1,0
"38_81","Trapezoidal",30,10,1,1,1,0
"38_82","Trapezoidal",30,10,1,1,1,0
"38_83","Trapezoidal",30,10,1,1,1,0
"38_84","Trapezoidal",30,10,1,1,1,0
"38_85","Trapezoidal",30,10,1,1,1,0
"38_86","Trapezoidal",30,10,1,1,1,0
"38_87","Trapezoidal",30,10,1,1,1,0
"38_88","Trapezoidal",30,10,1,1,1,0
"38_89","Trapezoidal",30,10,1,1,1,0
"38_9","Trapezoidal",30,10,1,1,1,0
"38_90","Trapezoidal",30,10,1,1,1,0
"38_91","Trapezoidal",30,10,1,1,1,0
"38_92","Trapezoidal",30,10,1,1,1,0
"38_93","Trapezoidal",30,10,1,1,1,0
"38_94","Trapezoidal",30,10,1,1,1,0
"38_95","Trapezoidal",30,10,1,1,1,0
"38_96","Trapezoidal",30,10,1,1,1,0
"38_97","Trapezoidal",30,10,1,1,1,0
"38_98","Trapezoidal",30,10,1,1,1,0
"38_99","Trapezoidal",30,10,1,1,1,0
"7_1","Trapezoidal",30,10,1,1,1,0
"7_10","Trapezoidal",30,10,1,1,1,0
"7_11","Trapezoidal",30,10,1,1,1,0
"7_12","Trapezoidal",30,10,1,1,1,0
"7_13","Trapezoidal",30,10,1,1,1,0
"7_14","Trapezoidal",30,10,1,1,1,0
"7_15","Trapezoidal",30,10,1,1,1,0
"7_16","Trapezoidal",30,10,1,1,1,0
"7_17","Trapezoidal",30,10,1,1,1,0
"7_18","Trapezoidal",30,10,1,1,1,0
"7_19","Trapezoidal",30,10,1,1,1,0
"7_2","Trapezoidal",30,10,1,1,1,0
"7_20","Trapezoidal",30,10,1,1,1,0
"7_21","Trapezoidal",30,10,1,1,1,0
"7_22","Trapezoidal",30,10,1,1,1,0
"7_23","Trapezoidal",30,10,1,1,1,0
"7_3","Trapezoidal",30,10,1,1,1,0
"7_4","Trapezoidal",30,10,1,1,1,0
"7_5","Trapezoidal",30,10,1,1,1,0
"7_6","Trapezoidal",30,10,1,1,1,0
"7_7","Trapezoidal",30,10,1,1,1,0
"7_8","Trapezoidal",30,10,1,1,1,0
"7_9","Trapezoidal",30,10,1,1,1,0
"93_1","Trapezoidal",30,10,1,1,1,0
"94_1","Trapezoidal",30,10,1,1,1,0
"94_10","Trapezoidal",30,10,1,1,1,0
"94_11","Trapezoidal",30,10,1,1,1,0
"94_12","Trapezoidal",30,10,1,1,1,0
"94_13","Trapezoidal",30,10,1,1,1,0
"94_14","Trapezoidal",30,10,1,1,1,0
"94_15","Trapezoidal",30,10,1,1,1,0
"94_16","Trapezoidal",30,10,1,1,1,0
"94_17","Trapezoidal",30,10,1,1,1,0
"94_18","Trapezoidal",30,10,1,1,1,0
"94_19","Trapezoidal",30,10,1,1,1,0
"94_2","Trapezoidal",30,10,1,1,1,0
"94_20","Trapezoidal",30,10,1,1,1,0
"94_21","Trapezoidal",30,10,1,1,1,0
"94_22","Trapezoidal",30,10,1,1,1,0
"94_23","Trapezoidal",30,10,1,1,1,0
"94_24","Trapezoidal",30,10,1,1,1,0
"94_25","Trapezoidal",30,10,1,1,1,0
"94_26","Trapezoidal",30,10,1,1,1,0
"94_27","Trapezoidal",30,10,1,1,1,0
"94_28","Trapezoidal",30,10,1,1,1,0
"94_29","Trapezoidal",30,10,1,1,1,0
"94_3","Trapezoidal",30,10,1,1,1,0
"94_30","Trapezoidal",30,10,1,1,1,0
"94_31","Trapezoidal",30,10,1,1,1,0
"94_32","Trapezoidal",30,10,1,1,1,0
"94_33","Trapezoidal",30,10,1,1,1,0
"94_34","Trapezoidal",30,10,1,1,1,0
"94_35","Trapezoidal",30,10,1,1,1,0
"94_36","Trapezoidal",30,10,1,1,1,0
"94_37","Trapezoidal",30,10,1,1,1,0
"94_38","Trapezoidal",30,10,1,1,1,0
"94_39","Trapezoidal",30,10,1,1,1,0
"94_4","Trapezoidal",30,10,1,1,1,0
"94_40","Trapezoidal",30,10,1,1,1,0
"94_41","Trapezoidal",30,10,1,1,1,0
"94_42","Trapezoidal",30,10,1,1,1,0
"94_43","Trapezoidal",30,10,1,1,1,0
"94_44","Trapezoidal",30,10,1,1,1,0
"94_45","Trapezoidal",30,10,1,1,1,0
"94_46","Trapezoidal",30,10,1,1,1,0
"94_47","Trapezoidal",30,10,1,1,1,0
"94_48","Trapezoidal",30,10,1,1,1,0
"94_49","Trapezoidal",30,10,1,1,1,0
"94_5","Trapezoidal",30,10,1,1,1,0
"94_50","Trapezoidal",30,10,1,1,1,0
"94_51","Trapezoidal",30,10,1,1,1,0
"94_52","Trapezoidal",30,10,1,1,1,0
"94_53","Trapezoidal",30,10,1,1,1,0
"94_54","Trapezoidal",30,10,1,1,1,0
"94_55","Trapezoidal",30,10,1,1,1,0
"94_56","Trapezoidal",30,10,1,1,1,0
"94_57","Trapezoidal",30,10,1,1,1,0
